pl_name,pl_rade,pl_bmasse,disc_year,st_teff,pl_eqt,pl_orbsmax,pl_orbper
HAT-P-38 b,9.247,84.857,2012,5330.0,1082.0,0.0523,4.640382
HAT-P-39 b,17.609,190.372,2012,6430.0,1752.0,0.0509,3.54387
HAT-P-4 b,14.986433,216.1244,2007,5860.0,1691.0,0.04465,3.0565195
HAT-P-4 b,14.28,213.255,2007,5860.0,1686.0,0.04438,3.056536
HAT-P-40 b,19.392,195.457,2012,6080.0,1770.0,0.0608,4.457243
HAT-P-41 b,18.887,254.253,2012,6390.0,1941.0,0.0426,2.694047
HAT-P-42 b,14.348,331.801,2012,5743.0,1428.0,0.0575,4.641878
HAT-P-43 b,14.359,210.395,2012,5645.0,1361.0,0.0443,3.332687
HAT-P-44 b,13.922,111.871,2014,5295.0,1108.0,0.0507,4.301219
HAT-P-45 b,15.984,283.492,2014,6330.0,1652.0,0.0452,3.128992
HAT-P-46 b,14.392,156.684,2014,6120.0,1458.0,0.0577,4.463129
HAT-P-49 b,15.838,549.823,2014,6820.0,2131.0,0.0438,2.691548
HAT-P-5 b,14.056086,336.8998,2007,5960.0,1539.0,0.04071,2.788491
HAT-P-50 b,14.437192,429.0705,2015,6280.0,1862.0,0.0453,3.1220109
HAT-P-51 b,14.493237,98.20947,2015,5449.0,1192.0,0.05069,4.2180278
HAT-P-51 b,13.50682174,97.57332095,2015,5453.0,1168.2,0.05042,4.21802091
HAT-P-52 b,11.309881,259.98494,2015,5131.0,1218.0,0.03694,2.7535953
HAT-P-53 b,14.773462,471.65972,2015,5956.0,1778.0,0.03159,1.9616241
HAT-P-54 b,10.581296,241.5508,2015,4390.0,818.0,0.04117,3.799847
HAT-P-55 b,13.249038,184.97706,2015,5808.0,1313.0,0.04604,3.5852467
HAT-P-55 b,14.84069045,189.42573057,2015,5804.0,1367.0,0.04628,3.5852313
HAT-P-56 b,16.432394,692.8694,2015,6566.0,1840.0,0.0423,2.7908327
HAT-P-57 b,15.838317,587.9855,2015,7500.0,2200.0,0.0406,2.465295
HAT-P-58 b,14.93036229,118.2321674,2021,6078.0,1622.0,0.04994,4.0138379
HAT-P-59 b,12.58768533,489.45574678,2021,5678.0,1277.8,0.05064,4.1419771
HAT-P-6 b,14.90797,336.58197,2007,6570.0,1675.0,0.05237,3.852985
HAT-P-6 b,15.636555,337.85329,2007,6570.0,1704.0,0.05244,3.853003
HAT-P-60 b,18.28184752,182.43350562,2021,6212.0,1772.0,0.06277,4.7947813
HAT-P-61 b,10.07687365,335.9446262,2021,5587.0,1505.0,0.0301,1.90231289
HAT-P-62 b,12.02723629,241.86741773,2021,5629.0,1512.0,0.03772,2.6453235
HAT-P-63 b,12.5428494,195.1466419,2021,5400.0,1237.0,0.04294,3.377728
HAT-P-64 b,19.08889413,184.34047606,2021,6457.0,1766.0,0.05387,4.007232
HAT-P-65 b,21.18501,167.49641,2016,5835.0,1930.0,0.03951,2.6054552
HAT-P-65 b,18.05766791,176.07693748,2016,5872.0,1818.0,0.04042,2.60544751
HAT-P-66 b,17.82231,248.86089,2016,6002.0,1896.0,0.04363,2.972086
HAT-P-67 b,23.370765,108.0622,2017,6406.0,1903.0,0.06505,4.8101025
HAT-P-68 b,12.016048,230.10892,2020,4508.0,1027.8,0.02996,2.29840551
HAT-P-69 b,18.786284,1137.8314,2019,7394.0,1930.0,0.06555,4.7869491
HAT-P-7 b,15.043,564.442,2008,6532.23,2733.0,0.0377,2.204737
HAT-P-7 b,16.712619,534.59006,2008,6441.0,2700.0,0.03676,2.2047372
HAT-P-7 b,15.905571,566.05523,2008,6350.0,2200.0,0.0355,2.2047354
HAT-P-7 b,16.421185,571.77617,2008,6350.0,2194.0,0.03805,2.2047304
HAT-P-70 b,20.96083,2154.8874,2019,8450.0,2562.0,0.04739,2.74432452
HAT-P-8 b,16.81,483.08,2008,6200.0,1700.0,0.0487,3.0763776
HAT-P-9 b,15.46842,247.27174,2008,6350.0,1540.0,0.0529,3.922814
HAT-P-9 b,15.614137,238.05467,2008,6350.0,1540.0,0.05287,3.92281072
HAT-P-9 b,15.69,247.9,2008,6350.0,1530.0,0.053,3.92289
HATS-1 b,14.594,589.55,2012,5870.0,1359.0,0.0444,3.446459
HATS-10 b,10.861521,167.17858,2015,5880.0,1407.0,0.04491,3.312846
HATS-11 b,16.92559,270.1555,2016,6060.0,1637.0,0.04614,3.6191613
HATS-12 b,15.13215,756.4354,2016,6408.0,2097.0,0.04795,3.142833
HATS-13 b,13.585308,172.58169,2015,5523.0,1244.0,0.04057,3.0440499
HATS-14 b,11.646151,340.39593,2015,5346.0,1276.0,0.03815,2.7667641
HATS-15 b,12.385945,689.6911,2016,5311.0,1505.0,0.02712,1.74748753
HATS-16 b,14.5717,1039.3041,2016,5738.0,1592.0,0.03744,2.686502
HATS-17 b,8.709393,425.25654,2016,5846.0,814.0,0.1308,16.254611
HATS-18 b,14.986433,629.3034,2016,5600.0,2060.0,0.01761,0.8378434
HATS-18 b,14.896761,629.144485,2016,5600.0,2069.48,0.0174,0.83784
HATS-2 b,13.092,427.463,2013,5227.0,1577.0,0.023,1.354133
HATS-22 b,10.682177,870.8542,2017,4803.0,858.0,0.05025,4.7228124
HATS-23 b,20.84874,467.2101,2017,5780.0,1654.0,0.03397,2.1605156
HATS-24 b,15.636555,718.2958,2017,6125.0,2166.0,0.0238,1.3484978
HATS-24 b,16.667783,775.5052,2017,6346.0,2067.0,0.02547,1.3484954
HATS-25 b,14.12334,194.82979,2016,5715.0,1277.0,0.05163,4.2986432
HATS-26 b,19.61575,206.5895,2016,6071.0,1918.0,0.04735,3.3023881
HATS-27 b,16.8135,168.4499,2016,6438.0,1659.0,0.0611,4.637038
HATS-28 b,13.383546,213.58176,2016,5498.0,1253.0,0.04131,3.1810781
HATS-29 b,14.022459,207.54299,2016,5670.0,1212.0,0.05475,4.6058749
HATS-3 b,15.48,340.382,2013,6351.0,1648.0,0.0485,3.547851
HATS-30 b,13.170575,224.38798,2016,5943.0,1414.0,0.04354,3.1743516
HATS-31 b,18.38276,279.6904,2016,6050.0,1823.0,0.0478,3.37796
HATS-32 b,14.000041,292.4036,2016,5700.0,1437.0,0.04024,2.8126548
HATS-33 b,13.78707,378.85336,2016,5659.0,1429.0,0.03727,2.5495551
HATS-34 b,16.02887,299.07803,2016,5380.0,1445.0,0.03166,2.1061607
HATS-35 b,16.409976,388.38826,2016,6300.0,2037.0,0.03199,1.8209993
HATS-36 b,13.843115,1022.14128,2018,6149.0,1356.0,0.05425,4.1752387
HATS-37 A b,6.792654,31.46517,2020,5326.0,1085.0,0.04913,4.3315366
HATS-38 b,6.882326,23.51942,2020,5732.0,1294.0,0.05036,4.375021
HATS-39 b,17.59813,200.2329,2018,6572.0,1645.0,0.06007,4.5776348
HATS-4 b,11.433,420.471,2014,5403.0,1315.0,0.0362,2.516729
HATS-40 b,17.71022,505.3497,2018,6460.0,2101.0,0.04997,3.2642736
HATS-41 b,14.90797,3082.951,2018,6424.0,1710.0,0.0583,4.193649
HATS-42 b,15.6926,597.5204,2018,6060.0,1856.0,0.03689,2.292102
HATS-43 b,13.22662,82.95363,2018,5099.0,1003.0,0.04944,4.3888497
HATS-44 b,11.960003,177.9848,2018,5080.0,1161.0,0.03649,2.7439004
HATS-45 b,14.414774,222.481,2018,6450.0,1518.0,0.05511,4.1876244
HATS-46 b,10.121727,54.98459,2018,5495.0,1054.0,0.05367,4.7423729
HATS-47 b,12.520453,117.27927,2020,4512.0,852.9,0.04269,3.9228038
HATS-48 A b,8.9672,77.23269,2020,4546.0,954.6,0.03769,3.1316666
HATS-49 b,8.574885,112.19399,2020,4405.0,834.8,0.04515,4.1480467
HATS-5 b,10.223,75.323,2014,5304.0,1025.0,0.0542,4.763387
HATS-51 b,15.80469,244.09344,2017,5758.0,1553.0,0.04639,3.3488702
HATS-52 b,15.490838,711.9392,2017,6010.0,1834.0,0.02498,1.36665436
HATS-53 b,15.02006,189.10885,2017,5644.0,1312.0,0.04753,3.8537768
HATS-54 b,11.37711541,239.32479047,2019,5621.0,1429.0,0.037,2.5441765
HATS-54 b,11.960003,241.5508,2019,5702.0,1625.0,0.03763,2.5441828
HATS-55 b,14.022459,292.72143,2019,6214.0,1367.0,0.05412,4.2042001
HATS-56 b,18.920792,191.33366,2019,6536.0,1902.0,0.06043,4.324799
HATS-57 b,12.767051,1000.21101,2019,5587.0,1413.4,0.03493,2.350621
HATS-58 A b,12.273855,327.3649,2019,7175.0,1721.0,0.05798,4.2180896
HATS-59 b,12.621334,256.17098,2018,5670.0,1128.0,0.06112,5.416081
HATS-6 b,11.186582,101.38777,2015,3724.0,712.8,0.03623,3.3252725
HATS-60 b,12.923977,210.40346,2018,5688.0,1528.0,0.04708,3.560829
HATS-61 b,13.394755,1080.622,2018,5542.0,1226.1,0.07908,7.817953
HATS-62 b,11.825495,56.89157,2018,5416.0,1237.0,0.04163,3.2768837
HATS-63 b,13.529263,305.1168,2018,5627.0,1398.3,0.04026,3.0566527
