pl_rade,pl_bmasse
1.51,4.97
7.0,8.0
0.935,1.14
2.3,6.5
2.37,8.92
2.38,7.96
2.61,8.63
2.46597575,11.41003981
2.24179614,11.44182265
2.69,20.0
2.71257333,20.97667486
1.73,6.9
2.85,12.4
1.75,8.0
2.5,444.962
2.35,8.7
1.164,2.59
2.12,21.3
11.209,126.49634
11.859122,123.00021
1.343,11.26
1.281,12.81
2.358,21.14
18.49485,508.528
16.06246934,434.15360396
16.19697711,433.20011874
18.405178,392.83788
14.5717,273.3338
5.68,21.0
7.82,27.0
3.44,24.5
18.41635529,546.66486004
17.396368,451.3186
9.52763359,59.75174052
9.52765,70.87609
9.50521563,67.69745069
9.26982704,68.96876432
2.41,14.9
2.41,14.8
1.70824866,7.3418362
3.3,11.26782377
0.705,0.29013072
2.93,8.9
2.73,14.3
4.48,30.9
7.5,37.1
2.59,9.68
3.53,15.68
2.48,6.5
1.95,10.7
9.494023,100.11645
13.33871,232.0159
11.209,194.82979
3.06,10.9
11.276254,246.00042
2.63,24.5
10.054473,106.47305
2.078,5.11
2.25,6.47
1.69,3.3
1.582,2.68
1.62,1.6
1.458,2.2
11.982421,187.20187
13.405964,198.00809
11.646151,184.02357
5.299,15.0
5.13,16.5
3.134,8.1
3.01,12.1
3.43,10.3
3.484,6.7
1.212,2.1
8.675766,82.6358
5.76,1144.188
15.434793,539.67534
15.13215,559.3808
1.43,4.3
1.43,3.9
3.2,7.9
3.2,7.8
1.655,7.7
1.54,7.3
1.55,12.0
2.29,8.3
2.42,9.9
2.49,7.4
5.71,39.8
1.015,7.5
2.66,1652.7077164
3.31,699.2224954
10.55,196.0
7.655747,135.39558
2.49,21.3
4.09,9.2
13.45077684,174.48779544
4.3,32.2
5.06645928,34.00763955
11.88151954,276.51071409
15.681391,215.80657
15.35633,61.97685
15.13212395,65.15482343
19.95202,301.9385
17.03768,380.12468
19.537287,408.09372
16.174587,289.2253
15.860735,874.0325
17.093725,416.3573
17.59813,375.0394
21.40919,1293.5681
20.51247,5403.11
19.514869,1074.90106
17.777474,1242.7153
14.829507,298.12454
15.24421375,1334.8793094
12.71098411,1458.83238813
14.257848,1646.3594
15.076,469.415
19.044091,286.68266
13.372,136.661
17.183397,406.8224
20.84874,275.55861
21.196219,915.3504
10.54,460.83
16.948008,2949.4624
1.13,2.23
2.58,11.02
1.19,9.2
1.21,10.36
11.09691,613.4119
0.51,99.2
1.71,10.5
4.32,15.6
11.27,106.0
6.56,35.0
11.54527,346.4347
1.416,4.56
1.4807089,4.608535
1.47,3.24
1.47,3.26
1.46,4.6
1.47,3.33
2.355,11.29
2.227,20.0
2.35,17.2
2.355,11.4
5.77,51.1
1.25,3.78
0.46,1.1
0.567,1.7
1.154,3.0
2.17,4.7
0.861,4.3
3.486,9.8
5.45,38.0
1.536,3.8
1.536,3.51
1.597,9.39
1.597,10.0
0.86,3.8
0.86,7.7
2.903,8.6
2.903,14.1
2.49,4.9
2.65,8.2
7.0840758,222.4798849
8.059,29.875
12.341,584.78
19.660586,137.30256
19.122554,136.6669
0.64,0.07
1.51,2.3
1.51,2.1
12.621334,2440.9344
14.448401,221.20968
12.419572,1678.1424
9.180171,158.915
2.213,5.4
5.02,48.6
3.87,17.0
10.16,321.00669107
14.68,778.65
14.68379,743.7222
11.94877343,1322.16617312
0.853,2.4
2.209,6.1
1.773,9.7
1.868,9.7
1.91,8.7
3.07,16.1
3.047,12.75
2.894,11.1
2.744,10.07
2.75,20.1
2.606,13.4
0.868,3.08
0.821,0.76
1.03,14.3
0.952,1.4
1.639,5.08
1.6354,10.4
1.639,7.5
2.1,9.1
2.38,36.0
1.381,3.9
1.57,6.8
1.486,4.45
3.679,8.08
0.3098,0.79
0.755,1.3
2.03,2.0
4.3,122.0
12.240228,5689.157
13.68,5720.7
13.9,6388.1
4.124912,23.83725
4.002,24.472
13.11,699.2
16.14096,686.5128
14.23543,673.7996
1.199,6.0
9.550068,156.69019
14.46,177.98
11.65736,177.9848
9.98,174.8
15.031269,299.07803
13.361,189.101
10.962,79.45
12.22,108.06
13.79,92.17
12.11,403.63
12.498035,982.0947
13.0,994.77
13.663771,1026.5909
13.45,1026.55
16.25,896.24
12.67,908.96
22.31,266.97
13.9,324.17
12.22,317.82
13.4508,327.3649
10.76,160.497
11.197791,158.915
2.37,5.4
9.057,1907.0
16.04,671.864
15.984034,670.93913
13.56289,648.3732
7.1,2.1
9.0,4.0
9.7,7.6
2.215,10.6
2.215,12.9
8.373123,308.2951
4.74139884,116.00736855
11.57887706,2129.4503269
14.83,212.619
13.103321,201.18639
14.616536,212.31044
1.31,9.0
0.54,4.0
1.95,14.0
1.61,36.0
1.41,35.0
2.357,8.03
2.31,8.3
0.979,1.3
16.567,137.615
18.483641,143.97699
18.180998,140.16303
17.956818,135.07775
10.76,200.22
14.8,216.12
11.55,3146.4
11.77,3209.9
15.24424,638.8383
10.761,136.661
1.173,1.86
1.201,1.68
15.906,191.643
15.479629,187.5197
15.871944,187.5197
8.08167508,298.75870258
13.49,324.2
6.14,6.4
15.322703,257.4423
1.478,3.8
1.478,4.02
1.478,4.66
1.63,4.07
1.39,4.6
0.85,0.4
0.8,1.01
1.385,2.22
1.35,2.42
1.57,2.31
1.521,1.94
1.727,6.98
1.635,6.38
1.43,6.65
1.73,5.6
1.282,1.81
1.169,1.76
1.272,1.91
1.242,2.33
1.088,8.7
4.7,30.8
2.438,7.1
1.032,0.9
1.32,13.2
1.367,25.3
1.305,2.87
1.38,2.2
1.147,1.54
1.35,2.34
1.332,2.62
1.325,2.46
2.3,8.6
2.42,6.29
2.39,8.04
4.72,29.32
4.72,29.32
16.8135,1175.971
17.14977,985.273
16.98160576,532.36258173
14.90797,258.07796
13.506845,687.14846
9.157753,109.33352
11.747032,66.10864
12.800678,1538.2972
4.976796,29.24036
12.32987877,238.68913366
14.57167491,211.99154747
13.89913607,242.82090295
13.56286665,129.99181846
17.878355,235.1942
11.99360935,947.12865286
14.90794433,750.07504052
14.20177855,194.82881349
13.60770257,165.27077164
11.46678726,203.09235207
14.88552637,92.80589484
15.64773706,188.47224535
10.40193409,305.11527072
18.38272835,1153.71711741
3.18,20.6
12.733424,72.78307
14.863134,425.57437
12.21781,295.5819
11.99363,921.707
19.27948,216.1244
11.332299,174.8065
12.072093,171.6282
12.195392,390.9309
12.453199,394.1092
13.45,375.02
13.775861,371.8611
14.01125,371.8611
16.47723,336.8998
14.145758,238.3725
15.278,441.77
13.4508,413.179
19.436406,448.1403
18.304297,1398.452
18.091326,1379.3822
14.5717,2542.64
30.48848,953.49
22.86636,635.66
6.18,169.0
9.33708092,87.08498352
12.800678,410.95419
13.22662,422.7139
12.811887,411.27202
17.295487,233.92288
14.056,792.635
12.823,790.41
12.285064,1369.8473
