st_teff,pl_eqt,pl_rade,pl_orbsmax
3457.0,254.9,2.61,0.1591
5365.0,797.5,2.46597575,0.0756
5110.0,729.0,2.24179614,0.075
5170.0,969.0,2.69,0.0526
5128.0,965.8,2.71257333,0.05174
4491.0,913.0,1.73,0.0382
4491.0,694.0,2.85,0.0662
4503.0,1103.0,1.75,0.028
3830.0,2100.0,2.5,0.0088
5942.0,871.0,2.35,0.1206
5185.0,1960.0,1.164,0.012888
5185.0,800.0,2.12,0.07577
6154.0,1030.0,11.209,0.10356
5888.0,1001.0,11.859122,0.0991
5033.0,1121.0,1.343,0.03308
5033.0,790.0,1.281,0.06666
5033.0,523.0,2.358,0.15224
6257.0,1884.0,18.49485,0.037
6180.0,1759.0,16.06246934,0.03552
6360.0,1828.0,16.19697711,0.03558
6099.0,1838.0,18.405178,0.0353
5630.0,1587.0,14.5717,0.046
5743.0,767.0,5.68,0.154
5743.0,606.0,7.82,0.247
3207.0,494.0,3.44,0.0287
6860.0,2090.0,18.41635529,0.04392
6367.0,1957.0,17.396368,0.0404
5445.0,1046.0,9.52763359,0.1034
5537.0,1080.0,9.52765,0.102
5503.0,1030.0,9.50521563,0.1087
5490.0,1036.0,9.26982704,0.1086
5368.0,470.0,2.41,0.2573
5368.0,470.0,2.41,0.2573
5420.0,1366.0,1.70824866,0.03359
4285.0,1515.0,3.3,0.01306
4285.0,664.5,0.705,0.0679
4285.0,538.3,2.93,0.1035
4285.0,490.1,2.73,0.1249
5248.0,902.0,4.48,0.06702
5500.0,787.0,7.5,0.1461
4975.0,1088.9,2.59,0.03817
4975.0,741.4,3.53,0.0824
4975.0,619.9,2.48,0.1178
4975.0,500.9,1.95,0.18041
5695.0,804.0,9.494023,0.1206
5358.0,1171.0,13.33871,0.04217
5222.0,1076.0,11.209,0.04097
6302.0,1230.0,3.06,0.0923
6302.0,676.0,11.276254,0.305
5725.0,795.0,2.63,0.13
4444.0,852.0,10.054473,0.0451
3844.0,501.3,2.078,0.0747
3835.0,513.0,2.25,0.0778
3835.0,381.0,1.69,0.1414
3844.0,371.8,1.582,0.1357
3835.0,312.0,1.62,0.2097
3844.0,305.2,1.458,0.2014
5575.0,1203.0,11.982421,0.0419
5581.0,1185.0,13.405964,0.04986
5425.0,1092.0,11.646151,0.04839
