pl_orbper,pl_rade
3.3569866,12.733424
0.882059,14.863134
2.4997,12.21781
4.43527,11.99363
3.101278,19.27948
4.0144477,11.332299
4.0144479,12.072093
1.43247425,12.195392
1.4324757,12.453199
1.689868,13.45
1.68986531,13.775861
1.689868,14.01125
3.9791,16.47723
3.67724,14.145758
1.2119189,15.278
1.211909,13.4508
1.21191096,19.436406
2.48553417,18.304297
2.485533,18.091326
43500.0,14.5717
138.317,6.18
282.52542,9.33708092
1.42002586,12.800678
1.42002504,13.22662
1.4200242,12.811887
1.645321,17.295487
1.33711647,14.056
1.3371182,12.823
2.5079204,12.285064
1.8053564,12.722215
2.8792319,12.408363
3.506195,11.903958
2.032046,19.0553
3.71495,14.403565
1.540731,11.309881
23.624,7.22979255
15.168865,12.520453
16.24921,12.18416202
1.44044527,13.31626907
69.048,11.5004142
9.139703,2.87
4.11296,2.265
6.443868,2.587
12.226574,2.651
0.6047328,1.791
4.0782387,14.57167491
4.074554,3.66
4.07445,3.56
8.3501898,13.0
8.350381,16.8135
8.350231,13.32
8.02773,9.02
4.17278,1.9
6.2569,2.76948277
12.51861,4.62115423
18.80693,2.5456702
26.317822,3.73591482
39.5387,2.53
7.06456,9.01941098
7.06466,9.19
8.953458,2.5064654
9.686753,3.03617429
2.10319365,16.1966394
5.748432,2.40974309
2.3106446,8.71664516
2.310644,8.5972882
3.671463,10.5140239
2.4919863,2.415
91.68278,2.91
24.245586,3.65
3.444717,1.694
3.444729,1.738
6.4003,2.37611439
4.30744,3.01
5.904144,2.51
5.904137,2.45109846
18.6559,3.51
18.654874,3.43139739
37.9216,3.78
37.92548,3.5141875
4.3601561,6.8084859
13.079151,3.2710301
4.65382,2.726
9.15059,2.759
19.98,2.93
3.477978,11.45557828
3.12748,2.34
3.127463,2.41
7.493134,2.76
7.49325,2.82
16.608164,3.12
10.8945,2.52
10.894841,2.62
10.894879,2.458
10.894843,2.37
18.80152,1.673
18.80151,1.56
18.801611,2.13
18.8027,1.98
8.1577094,9.1
4.2529913,2.40144286
3.31599,4.14
3.31599,4.13204907
4.631296,11.09689089
9.61419,2.66146528
2.6998279,4.96846551
3.915292,10.12369881
3.1968838,15.69257298
3.9443736,14.11645916
3.9443715,13.79825524
4.537164,9.42675277
4.537143,9.65807033
2.1097019,3.42
4.720219,15.647764
0.84742431,1.81434694
4.841968,1.67761121
25.8401,6.2163865
25.83839,6.05284958
1.21687,3.10083009
1.4520527,1.19880592
1.0697568,1.62
6.9561063,11.89
12.9967,3.93681551
12.9972,3.96
2.650237,16.70138124
18.84078,2.43471042
27.644,4.2427861
23.540678,2.30381001
0.4702743,1.41792246
8.112245,2.749
16.537944,2.61143902
11.06201,1.672
5.97199,1.6759955
1.8805201,1.401
15.532477,2.126
2.527093,2.18
18.08816,2.47
6.36381,4.15964583
10.180249,11.88154
5.857487,14.067295
5.857342,15.46842
1.902603,21.01683881
2.0845435,14.414774
5.33175,14.19902343
5.331751,13.887951
4.231306,16.690201
0.989343,1.79
0.9893436,1.749
2.6800535,2.2963977
10.98462,2.06
40.74976,11.06326395
0.6691416,1.459
0.66913924,1.468
2.2554477,12.172974
16.7369,3.56505068
3.770107,5.3422266
3.1342791,1.9
2.50031,3.24
2.500311,3.09
24.283377,5.20315158
24.283382,5.15
9.47725,10.816685
13.72641,3.29206019
3.49151,5.05
7.073076,3.18175535
7.073091,3.05
7.073088,2.44
21.269084,2.36507598
2.38839,1.39
4.4929,2.12
9.0497,2.52
37.46852,2.9507845
5.3846104,2.47852533
20.705127,3.5573684
18.849975,3.06
18.85018,3.12029598
18.85019,3.14
10.2405549,8.04728896
2.799868,1.21612741
1.914558,1.152
3.23845,1.669
6.5577,2.572
9.961881,2.207
15.231915,2.287
20.7095,2.87
3.208664,16.14093221
8.765528,3.29701268
8.02154,2.38506569
0.4378146,1.39939037
7.085738,1.42238884
10.643985,1.96061882
6.293287,2.99
12.885779,4.29
0.54937097,1.49681583
4.532,6.9559
3.7130765,11.14172682
4.860674,12.778238
38.8,7.5406241
22.808533,2.7438269
20.380799,8.00321222
20.380845,8.28055741
1.7727471,2.59987579
9.5739181,12.3485023
1.2436258,3.46
1.36414864,18.49481816
45.52234,9.39553231
29.02,12.89035
29.090312,11.09689089
0.94667944,13.97759893
4.0337142,13.67495645
3.09833,2.7
9.127055,8.14
52.97818,11.298672
141.834025,11.81426566
3.348968,3.39
3.348237,3.309
15.3444,5.33275337
8.8720982,11.89272852
8.872078,12.52043144
10.355096,2.77062554
21.015327,3.69441587
35.125686,3.43087751
124.72997,3.6831179
17.66484,1.25
28.17232,1.33
2.4545467,13.57407563
0.67247414,15.098497
5.7998164,2.122
16.34136,2.08874836
9.2292005,2.69
95.5,7.27
7.851925,2.2
7.851928,2.19
7.85191,2.09
18.26157,3.05
10.261127,12.41899699
10.26075,11.98240037
3.3773512,14.35870428
3.8240801,16.28664896
8.60077,10.76062147
34.556,11.29
17.089,7.69
260.79,11.32107051
2.1225735,19.83989584
1.1947268,3.51
10.695264,3.03
8.001968,11.1529358
3.5315902,14.36991326
27.26955,1.74
30.033302,16.47720163
